SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,PER_NETCASH_OPERATE,PER_OI,BPS,BASIC_EPS,DILUTED_EPS,OPERATE_INCOME,OPERATE_INCOME_YOY,GROSS_PROFIT,GROSS_PROFIT_YOY,HOLDER_PROFIT,HOLDER_PROFIT_YOY,GROSS_PROFIT_RATIO,EPS_TTM,OPERATE_INCOME_QOQ,NET_PROFIT_RATIO,ROE_AVG,GROSS_PROFIT_QOQ,ROA,HOLDER_PROFIT_QOQ,ROE_YEARLY,ROIC_YEARLY,TAX_EBT,OCF_SALES,DEBT_ASSET_RATIO,CURRENT_RATIO,CURRENTDEBT_DEBT,START_DATE,FISCAL_YEAR,CURRENCY,IS_CNY_CODE
02318.HK,02318,中国平安,10009951,2025-09-30 00:00:00,004,18.784720842942,49.793120509505,54.474569370897,7.56,7.24,901636000000,4.9141032623,,,132856000000,11.4732090416,,7.747060607822,4.462989520327,17.1984037904,13.875256787707,,0.998623712878,16.866747198734,18.50034238361,1.119488521758,14.340402260436,37.725534472892,89.9380314701,,,2025-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2025-06-30 00:00:00,002,18.571150086666,29.93695642946,52.130034394354,3.87,3.71,545159000000,-1.5121158964,,,68047000000,-8.8074083008,,6.59162293021,0.992813547727,15.1377854901,7.267835552764,,0.514195092783,2.669483552013,14.535671105529,1.155554023428,10.255016040455,62.034195528277,90.0581506769,,,2025-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2025-03-31 00:00:00,003,13.356280424114,14.066814927334,51.897038844676,1.54,1.44,256160000000,-7.0793250047,,,27016000000,-26.4049688087,,6.420235791749,-1.708656398619,13.7254059963,2.891989811238,,0.206694773004,-7.655974788124,11.567959244953,0.929971943959,1.05254270678,94.948860087445,89.842172582,,,2025-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2024-12-31 00:00:00,001,21.003243958921,62.722091430988,51.282215556085,7.16,6.99,1142184000000,11.1895954207,,,126607000000,47.7931477266,,6.952518884701,3.951713015716,12.8467042088,13.854917704041,,1.031789586543,7.960126884508,13.854917704041,1.150289089552,13.937065603097,33.48619837084,89.931089526,,,2024-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2024-09-30 00:00:00,004,22.933092791647,47.193461179772,50.141205588818,6.73,6.58,859404000000,9.0780321876,,,119182000000,36.0913502712,,6.439895066202,5.804717072884,16.2966427897,13.191510556463,,0.988358783477,29.663987262696,17.58868074195,1.102332534607,11.68967104475,48.593792907643,89.7908253373,,,2024-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2024-06-30 00:00:00,002,16.742398249104,30.396588069614,51.426243144035,4.21,4.12,553529000000,2.0732602354,,,74619000000,6.8412537048,,4.96660267986,1.510711339279,16.0251766393,8.154106147953,,0.62678487933,7.642046130775,16.308212295906,1.387585324183,14.00901555911,55.079860314455,89.6541706464,,,2024-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2024-03-31 00:00:00,003,4.116256688488,15.138519955917,49.977241666799,2.07,2.03,275676000000,-1.5048876694,,,36709000000,-4.2840008344,,4.613998765711,-0.410030762042,16.3416474412,4.069776788115,,0.311545846289,-1.917936146618,16.279107152459,1.378220195634,14.381283615562,27.190615069865,89.6335393484,,,2024-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2023-12-31 00:00:00,001,19.791233214616,56.410036562908,49.648154091419,4.84,4.74,1027240000000,5.7624494091,,,85665000000,-22.8298861343,,4.704222754333,-19.18400421687,10.6376309334,9.689503801036,,0.754073893784,9.032939619183,9.689503801036,0.83578948837,9.027031977156,35.084595615436,89.3903154829,,,2023-01-01 00:00:00,12-31,HKD,0
02318.HK,02318,中国平安,10009951,2023-09-30 00:00:00,004,17.168806813714,43.265779766349,49.874136027726,4.94,4.85,787880000000,6.7376914594,,,87575000000,-5.6110626098,,4.314496858256,0.464270386521,13.7217596588,9.882671836614,,0.774898954548,-5.214139220654,13.176895782152,0.85647423372,9.50631131349,39.682185104331,89.2542146504,,,2023-01-01 00:00:00,12-31,HKD,0
